"","pKey","location_code","partner_code","product_id","export_value","import_value"
"1",1,"AFG","BEL",815,0,3106
"2",2,"AGO","BEL",815,0,137159
"3",3,"AUT","BEL",815,1177,10884
"4",4,"BDI","BEL",815,0,158766
"5",5,"BGR","BEL",815,0,236160
"6",6,"BRA","BEL",815,1369,0
"7",7,"CAF","BEL",815,0,17160
"8",8,"CAN","BEL",815,12610,43395
"9",9,"CHE","BEL",815,16297,8544
"10",10,"CIV","BEL",815,0,7048
"11",11,"CMR","BEL",815,0,1694
"12",12,"COD","BEL",815,0,74501
"13",13,"COG","BEL",815,0,3634
"14",14,"CSK","BEL",815,0,22468
"15",15,"DEU","BEL",815,232314,306248
"16",16,"DNK","BEL",815,3391,6731
"17",17,"DZA","BEL",815,0,236975
"18",18,"EGY","BEL",815,81348,0
"19",19,"ESP","BEL",815,0,218416
"20",20,"FIN","BEL",815,0,10144
"21",21,"FRA","BEL",815,997215,2626061
"22",22,"GAB","BEL",815,0,2623
"23",23,"GBR","BEL",815,156976,230839
"24",24,"GMB","BEL",815,0,6632
"25",25,"GRC","BEL",815,0,2181
"26",26,"HKG","BEL",815,0,1931
"27",27,"HUN","BEL",815,0,1541
"28",28,"IND","BEL",815,12085,69081
"29",29,"ISR","BEL",815,0,5331
"30",30,"ITA","BEL",815,3363,864019
"31",31,"JPN","BEL",815,116965,4596
"32",32,"KEN","BEL",815,2247,61104
"33",33,"KOR","BEL",815,0,1462
"34",34,"KWT","BEL",815,0,4324
"35",35,"LBN","BEL",815,10482,38867
"36",36,"MDG","BEL",815,0,1971
"37",37,"NGA","BEL",815,0,6070
"38",38,"NLD","BEL",815,990434,876397
"39",39,"NOR","BEL",815,0,19543
"40",40,"NZL","BEL",815,18076,0
"41",41,"PAK","BEL",815,0,3309
"42",42,"POL","BEL",815,2347,1980
"43",43,"PRT","BEL",815,0,17864
"44",44,"ROU","BEL",815,1988,0
"45",45,"RUS","BEL",815,32066,0
"46",46,"SAU","BEL",815,0,14162
"47",47,"SLE","BEL",815,0,1968
"48",48,"SWE","BEL",815,10730,24186
"49",49,"SYR","BEL",815,0,98755
"50",50,"TCD","BEL",815,0,25959
"51",51,"THA","BEL",815,8558,0
"52",52,"TUN","BEL",815,0,5611
"53",53,"TUR","BEL",815,6151,0
"54",54,"USA","BEL",815,485058,716080
"55",55,"ZAF","BEL",815,0,3900
"56",56,"ANS","BEL",815,1500,6207
"57",57,"AUT","CHE",815,58596,27053
"58",58,"BEL","CHE",815,8544,16297
"59",59,"CSK","CHE",815,0,52484
"60",60,"DEU","CHE",815,530842,205968
"61",61,"ESP","CHE",815,0,130989
"62",62,"FRA","CHE",815,80105,316824
"63",63,"GBR","CHE",815,84583,86050
"64",64,"GRC","CHE",815,12500,8243
"65",65,"HUN","CHE",815,20248,115836
"66",66,"IND","CHE",815,0,10534
"67",67,"ISR","CHE",815,0,1966
"68",68,"ITA","CHE",815,137162,590909
"69",69,"JPN","CHE",815,143652,0
"70",70,"MAR","CHE",815,0,5611
"71",71,"NLD","CHE",815,36028,4946
"72",72,"POL","CHE",815,9997,0
"73",73,"SWE","CHE",815,0,2667
"74",74,"USA","CHE",815,43721,49522
"75",75,"YUG","CHE",815,0,19254
"76",76,"HKG","CHN",815,13115,0
"77",77,"JPN","CHN",815,0,3160
"78",78,"BEL","CSK",815,22468,0
"79",79,"CHE","CSK",815,52484,0
"80",80,"DEU","CSK",815,22509,206674
"81",81,"DNK","CSK",815,8259,0
"82",82,"GBR","CSK",815,690694,1929
"83",83,"ITA","CSK",815,0,11007
"84",84,"NLD","CSK",815,347337,1639
"85",85,"AFG","DEU",815,0,26870
"86",86,"AGO","DEU",815,0,3342
"87",87,"ARG","DEU",815,25687,0
"88",88,"AUS","DEU",815,8994,4129
"89",89,"AUT","DEU",815,234340,532841
"90",90,"BEL","DEU",815,306248,232314
"91",91,"BGR","DEU",815,35923,0
"92",92,"CAN","DEU",815,2732,7023
